The Citadel,171 Moultrie Street,Charleston,SC,"""29409"""
The Colburn School,200 South Grand Avenue,Los Angeles,CA,"""90012"""
The Collective,"541 6th Avenue, 4th Floor",New York,NY,"""10011"""
The College of Coiffure Art,1423 Wyoming Ave,Billings,MT,"""59102-5333"""
The College of Health Care Professions,240 Northwest Mall,Houston,TX,"""77092"""
The College of New Jersey,2000 Pennington Road,Ewing,NJ,"""08628-0718"""
The College of New Rochelle,29 Castle Place,New Rochelle,NY,"""10805-2339"""
The College of Saint Rose,432 Western Ave,Albany,NY,"""12203-1490"""
The College of Saints John Fisher and Thomas More,3020 Lubbock,Fort Worth,TX,"""76109"""
The College of Westchester,325 Central Park Ave,White Plains,NY,"""10606"""
The College of Wooster,1189 Beall Avenue,Wooster,OH,"""44691"""
The Community College of Baltimore County,800 South Rolling Road,Baltimore,MD,"""21228-5381"""
The Creative Center,10850 Emmet St,Omaha,NE,"""68164"""
The Creative Circus,812 Lambert Dr,Atlanta,GA,"""30324"""
The Criswell College,4010 Gaston Ave.,Dallas,TX,"""75246"""
The EF Executive Language Institute A branch of EF International Language,"EF Center, One Education Street",Cambridge,MA,
The Elaine Sterling Institute,"4840 Roswell Road, Building E, Suite 201",Atlanta,GA,"""30042"""
The English Center,66 Franklin Street,Oakland,CA,"""94607"""
The English Center - Miami-Dade County Public Schools,3501 SW 28 St.,Miami,FL,"""33133"""
The Evergreen State College,2700 Evergreen Pkwy NW,Olympia,WA,"""98505"""
The Fab School,7372 Sycamore Canyon Boulevard,Riverside,CA,"""40391"""
The General Theological Seminary,440 W. 21st Street,New York,NY,"""10011"""
The Graduate School and University Center of the City University of New York,365 Fifth Ave,New York,NY,"""10016"""
The Illinois Institute of Art - Chicago,350 N Orleans St,Chicago,IL,"""60654-1593"""
The Illinois Institute of Art-Schaumburg,1000 Plaza Drive,Schaumburg,IL,"""60173-4913"""
The Institute for Health Education,"600 Pavonia Avenue, First Floor",Jersey City,NJ,"""07306"""
The Institute for the Psychological Sciences,2001 Jefferson Davis Highway,Arlington,VA,"""22202"""
The Institute of World Politics,1521 16th St NW,Washington,DC,"""20036-1423"""
The International School of Hospitality,"3614 E. Sunset Road, Suite 110",Las Vegas,NV,"""89120"""
The John Leland Center for Theological Studies,"405 North Washington Street, Suite 200",Falls Church,VA,"""22046"""
The John Marshall Law School,315 S Plymouth Ct,Chicago,IL,"""60604"""
The Joseph Business School,7600 W. Roosevelt,Forest Park,IL,"""60130"""
The Juilliard School,60 Lincoln Center Plaza,New York,NY,"""10023-6588"""
The King's College,"56 Broadway, 5th Floor",New York,NY,"""10004-0026"""
The King's University,2121 East Southlake Boulevard,Southlake,TX,"""76092"""
The Lab Paul Mitchell Partner School,"25 Scotch Road, Suite A",Ewing,NJ,"""08628"""
The Language Company,189 W. 15th Street,Edmond,OK,"""73013"""
The Language Institute,"70 South Lake Avenue, Suite 830",Pasadena,CA,"""91101"""
The Master's College and Seminary,21726 Placerita Canyon Road,Santa Clarita,CA,"""91321-1200"""
The Nail Academy,"162-04 Jamaica Avenue, 5th Floor",Jamaica,NY,"""11432"""
The National Hispanic University,14271 Story Rd,San Jose,CA,"""95127-3823"""
The New Community College at CUNY,50 West 40th Street,New York,NY,"""10018"""
The New England Conservatory of Music,290 Huntington Ave,Boston,MA,"""02115"""
The New England Institute of Art,10 Brookline Place West,Brookline,MA,"""02445-7295"""
The New School,66 W 12th Street,New York,NY,"""10011"""
The New School of Radio and Television,7 Harriman Campus Road,Albany,NY,"""12206"""
The Ocean Corporation,10840 Rockley Road,Houston,TX,"""77099"""
"The Ohio Academy, A Paul Mitchell Partner School",3000 Morse Road,Columbus,OH,"""43231"""
"The Olin Center for International Study, Inc.",342 Newbury Street,Boston,MA,
The Players School of Music,923 McMullen Booth Road,Clearwater,FL,"""33759"""
The Restaurant School at Walnut Hill College,4207 Walnut St,Philadelphia,PA,"""19104"""
The Richard Stockton College of New Jersey,101 Vera King Farris Dr.,Galloway,NJ,"""08205"""
The Sage Colleges,45 Ferry St,Troy,NY,"""12180"""
The Salon Academy,440 Marshall Street,Coldwater,MI,"""49038"""
The Salon Professional Academy,335 Vertin Boulevard,Shorewood,IL,"""60404"""
The Salon Professional Academy - Altoona,705 12th St,Altoona,PA,"""16602-2419"""
The Salon Professional Academy - Anderson,5335 South Scatterfield Road,Anderson,IN,"""46013"""
The Salon Professional Academy - Appleton,3355 West College Avenue,Appleton,WI,"""54914"""
The Salon Professional Academy - Branson,4720 Gretna Road,Branson,MO,"""65616"""
The Salon Professional Academy - Colorado Springs,4388 Austin Bluffs Parkway,Colorado Springs,CO,"""80918"""
The Salon Professional Academy - Eau Claire,3408 Mall Drive,Eau Claire,WI,"""54701-7633"""
The Salon Professional Academy - Evansville,5545 Vogel Road,Evansville,IN,"""47715"""
The Salon Professional Academy - Gainesville,"6915 NW 4th Boulevard, Suite B",Gainesville,FL,"""32607"""
The Salon Professional Academy - Grand Junction,432 North Avenue,Grand Junction,CO,"""81501"""
The Salon Professional Academy - Huntsville,"4925 University Drive, Suite 134",Huntsville,AL,"""35816"""
The Salon Professional Academy - Iowa City,1550 South 1st Avenue,Iowa City,IA,"""52755"""
The Salon Professional Academy - Kokomo,1012 South Reed Road,Kokomo,IN,"""46902"""
The Salon Professional Academy - Lewisville,"2440 South Stemmons Freeway, Suite B",Lewisville,TX,"""75067"""
The Salon Professional Academy - Lexington,"1300 New Circle Road, Suite 110",Lexington,KY,"""40505-1776"""
The Salon Professional Academy - Melbourne,"1700 West New Haven Avenue, Suite 540A",Melbourne,FL,"""32904"""
The Salon Professional Academy - Nashville,"2710 Old Lebanon Road, Suite 6",Nashville,TN,"""37214"""
The Salon Professional Academy - North Fort Myers,13422 North Cleveland Avenue,North Fort Myers,FL,"""33903"""
The Salon Professional Academy - North Little Rock,4619 JFK Boulevard,North Little Rock,AR,"""72116"""
The Salon Professional Academy - Onalaska,566 Theater Road,Onalaska,WI,"""54650"""
The Salon Professional Academy - Perrysburg,116 West South Boundary Street,Perrysburg,OH,"""43551"""
The Salon Professional Academy - St. Charles,3141 West Clay Street,St. Charles,MO,"""63301"""
The Salon Professional Academy - Tacoma,"3702 South Fife Street, B102",Tacoma,WA,"""98409"""
The Salon Professional Academy - Tampa,"4802 Gunn Highway, Ste 144",Tampa,FL,"""33624"""
The Salon Professional Academy - The Villages,11915 CR 103,The Villages,FL,"""32162"""
The Salon Professional Academy - Tonawanda,2309 Eggert Road,Tonawanda,NY,"""14150"""
The Salon Professional Academy - Williston,400 Cornerstone Drive Suite 220,Williston,VT,"""05495"""
The Salon Professionals Academy Fargo,4377 15th Avenue South,Fargo,ND,"""58103"""
The SANS Technology Institute,8120 Woodmont Ave. Ste. 205,Bethesda,MD,"""20814"""
The Seattle School of Theology and Psychology,2501 Elliot Avenue,Seattle,WA,"""98121"""
The Southern Baptist Theological Seminary,2825 Lexington Rd,Louisville,KY,"""40280-0001"""
The Temple: A Paul Mitchell Partner School,22 West Church Street,Frederick,MD,"""21701"""
The Training Domain,"12761 World Plaza Lane, Suite 2",Fort Myers,FL,"""33907"""
The University of Aesthetics,1357 North Milwaukee Avenue,Chicago,IL,"""60622"""
The University of Alabama,739 University Boulevard,Tuscaloosa,AL,"""35487-0100"""
The University of Findlay,1000 N Main St,Findlay,OH,"""45840-3695"""
The University of Montana,32 Campus Drive,Missoula,MT,"""59812"""
The University of Montana - Western,710 S Atlantic,Dillon,MT,"""59725-3598"""
The University of Tampa,401 W Kennedy Blvd,Tampa,FL,"""33606-1490"""
The University of Tennessee - Chattanooga,615 McCallie Ave,Chattanooga,TN,"""37403-2598"""
The University of Tennessee - Martin,University Street,Martin,TN,"""38238-5021"""
The University of Texas - Pan American,1201 W University Dr,Edinburg,TX,"""78541-2999"""
The University of Texas at Arlington,701 S. Nedderman Dr.,Arlington,TX,"""76013"""
The University of Texas at Brownsville and Texas Southmost College,80 Fort Brown,Brownsville,TX,"""78520-4991"""
The University of Texas at Dallas,800 West Campbell  Rd,Richardson,TX,"""75080"""
The University of Texas at El Paso,500 W. University Ave,El Paso,TX,"""79968-0691"""
The University of Texas at San Antonio,One UTSA Circle,San Antonio,TX,"""78249-1130"""
The University of Texas at Tyler,3900 University Blvd,Tyler,TX,"""75799-6699"""
The University of Texas Health Science - San Antonio,7703 Floyd Curl Dr,San Antonio,TX,"""78229-3900"""
The University of Texas Health Science Center at Houston,"7000 Fannin, Suite 1700",Houston,TX,"""77030"""
The University of Texas Medical Branch,301 University Blvd,Galveston,TX,"""77555-0129"""
The University of Texas of the Permian Basin,4901 E University,Odessa,TX,"""79762-0001"""
The University of Texas School of Health Professions,1515 Holcombe Blvd.,Houston,TX,"""77030-4009"""
The University of the Arts,320 S Broad St,Philadelphia,PA,"""19102"""
The University of the South,735 University Avenue,Sewanee,TN,"""37383-1000"""
The University of Virginia's College at Wise,1 College Avenue,Wise,VA,"""24293-4400"""
The University of West Florida,11000 University Pky,Pensacola,FL,"""32514-5750"""
The Valley School for Dental Assisting,16500 Ventura Blvd #315,Encino,CA,"""91436"""
The Village School for Children  (AMS),100 West Prospect St.,Waldick,NJ,"""07463"""
The Williamson Free School of Mechanical Trades,106 S New Middletown Road,Media,PA,"""19063"""
The Wisconsin Academy,"880 Frontage Road, Suite #1",Peshtigo,WI,"""54157"""
The Wright Institute,2728 Durant Ave,Berkeley,CA,"""94704-1796"""
Theatre of Arts,"6755 Hollywood Boulevard, Suite 200",Hollywood,CA,"""90028"""
Theda Clark Medical Center,"130 Second Street, P.O. Box 2021",Neenah,WI,"""54956-2021"""
Thiel College,75 College Ave,Greenville,PA,"""16125-2181"""
Thomas Aquinas College,10000 N Ojai Rd,Santa Paula,CA,"""93060"""
Thomas College,180 W River Rd,Waterville,ME,"""04901-5097"""
Thomas Edison State College,101 W State St,Trenton,NJ,"""08608-1176"""
Thomas J. Kiblen & Associates Dale Carnegie Training,2525 Cherry Avenue Suite #105,Long Beach,CA,
Thomas Jefferson School of Law,2121 San Diego Ave,San Diego,CA,"""92110"""
Thomas Jefferson University,1020 Walnut Street,Philadelphia,PA,"""19107"""
Thomas M. Cooley Law School,300 S Capitol Ave,Lansing,MI,"""48901"""
Thomas More College,333 Thomas More Parkway,Crestview Hills,KY,"""41017-3495"""
Thomas More College of Liberal Arts,6 Manchester St,Merrimack,NH,"""03054"""
Thomas Nelson Community College,99 Thomas Nelson Drive,Hampton,VA,"""23666"""
Thomas University,1501 Millpond Rd,Thomasville,GA,"""31792"""
Thompson Institute,2593 Philadelphia Ave,Chambersburg,PA,"""17201"""
Three Rivers Community College,7 Mahan Dr,Norwich,CT,"""06360"""
Thunderbird School of Global Management,15249 N 59th Ave,Glendale,AZ,"""85306-6000"""
Tidewater Community College,500 East Main Street,Norfolk,VA,"""23514"""
Tidewater Tech-Trades,922 W 21st St,Norfolk,VA,"""23517-1516"""
Tiffin University,155 Miami Street,Tiffin,OH,"""44883"""
Tillamook Bay Community College,2510 First St,Tillamook,OR,"""97141"""
TLA - The Language Academy,"300 NE 3rd Avenue, Suite 100",Fort Lauderdale,FL,"""33301"""
Toccoa Falls College,107 North Chapel Drive,Toccoa Falls,GA,"""30598"""
Tohono O'Odham Community College,"Mile Post #125.5, Highway 86 North, P.O. Box 3129",Sells,AZ,"""85634"""
Tom Flickinger & Associates of Ohio Dale Carnegie Training of Central Ohio,4885 Aspen Pine Boulevard,Dublin,OH,"""43016"""
Tom P Haney Technical Center,3016 Hwy 77,Panama City,FL,"""32405"""
Tompkins-Cortland Community College,170 North Street,Dryden,NY,"""13053-0139"""
Torah Temimah Talmudical Seminary,507 Ocean Pky,Brooklyn,NY,"""11218"""
Total International Career Institute,3060 W. 12 Avenue,Hialeah,FL,"""33012"""
Tougaloo College,500 W County Line Rd,Tougaloo,MS,"""39174"""
Touro College,27-33 W 23rd St,New York,NY,"""10010"""
Touro University,"1310 Johnson Lane, Mare Island",Vallejo,CA,"""94592"""
Towson University,8000 York Rd,Towson,MD,"""21252-0001"""
Toyota Technological Institute at Chicago,1427 E 60th St 2nd Fl,Chicago,IL,"""60637"""
Training Centers of Texas,1512 Ahrens,Houston,TX,"""77017"""
Training Solutions Inc,"450 W 41st St, 614",New York,NY,"""10036"""
Transworld Schools,"701 Sutter Street, 7th Floor",San Francisco,CA,
Transylvania University,300 N Broadway,Lexington,KY,"""40508-1797"""
Travel Institute of the Pacific,1314 S King St Ste 1164,Honolulu,HI,"""96814"""
Treasure Valley Community College,650 College Blvd,Ontario,OR,"""97914"""
Trend Setters Academy-Louisville,7283 Dixie Hwy,Louisville,KY,"""40258"""
Trevecca Nazarene University,333 Murfreesboro Rd,Nashville,TN,"""37210"""
Tri County Technology Center,6101 SE Nowata Road,Bartlesville,OK,"""74006-6029"""
Tri-County Allied Health School,512 Queensland Circle,Corona,CA,"""92879"""
Tri-County Community College,21 Campus Circle,Murphy,NC,"""28906"""
Tri-County Regional Vocational Technical School,147 Pond Street,Franklin,MA,"""02038"""
Tri-County Technical College,7900 U.S. Hwy 76,Pendleton,SC,"""29670"""
Tri-State Bible College,506 Margaret St,South Point,OH,"""45680"""
Tri-State College of Acupuncture,80 Eighth Ave Rm 400,New York,NY,"""10011"""
Tri-State College of Massotherapy,9159 Market St Ste 26,North Lima,OH,"""44452"""
Tri-State Semi Driver Training - Palmer,3001 North I-45,Palmer,TX,"""75152"""
Triangle Tech - Bethlehem,"31 S. Commerce Way, LVIP IV",Bethlehem,PA,"""18017"""
Triangle Tech Inc - Sunbury,191 Performance Road,Sunbury,PA,"""17801"""
Triangle Tech Inc-Dubois,225 Tannery Row Road,Falls Creek,PA,"""15840"""
Triangle Tech Inc-Erie,2000 Liberty St,Erie,PA,"""16502-2594"""
Triangle Tech Inc-Greensburg,222 E Pittsburgh St Ste A,Greensburg,PA,"""15601-3304"""
Triangle Tech Inc-Pittsburgh,1940 Perrysville Avenue,Pittsburgh,PA,"""15214-3897"""
Tribeca Flashpoint Media Arts Academy,"28 North Clark Street, 5th Floor",Chicago,IL,"""60602"""
Trident Technical College,7000 Rivers Avenue,Charleston,SC,"""29423-8067"""
Trident University International,5665 Plaza Drive,Cypress,CA,"""90630"""
Trine University,1 University Ave,Angola,IN,"""46703"""
Trinidad State Junior College,600 Prospect St,Trinidad,CO,"""81082"""
Trinity Baptist College,800 Hammond Blvd,Jacksonville,FL,"""32221"""
Trinity Bible College,50 Sixth Avenue South,Ellendale,ND,"""58436-7150"""
Trinity Christian College,6601 W College Dr,Palos Heights,IL,"""60463-0929"""
Trinity College,300 Summit St,Hartford,CT,"""06106-3100"""
Trinity College of Florida,2430 Welbilt Blvd,Trinity,FL,"""34655-4401"""
Trinity College of Nursing and Health Sciences,2122 - 25th Avenue,Rock Island,IL,"""61201-5317"""
Trinity Episcopal School for Ministry,311 Eleventh St,Ambridge,PA,"""15003"""
Trinity International University,2065 Half Day Rd,Deerfield,IL,"""60015-1283"""
Trinity Lutheran College,4221 - 228th Ave SE,Issaquah,WA,"""98029-9299"""
Trinity Lutheran Seminary,2199 E Main St,Columbus,OH,"""43209-2334"""
Trinity University,One Trinity Place,San Antonio,TX,"""78212-7200"""
Trinity Valley Community College,100 Cardinal Drive,Athens,TX,"""75751"""
Trinity Vocational Center,"1149 W. 190th Street, Suite 2000",Gardena,CA,"""90248"""
Trinity Washington University,125 Michigan Ave NE,Washington,DC,"""20017-1094"""
Triton College,2000 5th Ave,River Grove,IL,"""60171-1995"""
Trocaire College,360 Choate Ave,Buffalo,NY,"""14220-2094"""
Troy University,University Avenue,Troy,AL,"""36082-0001"""
Truckee Meadows Community College,7000 Dandini Blvd,Reno,NV,"""89512-3999"""
Truett-McConnell College,100 Alumni Dr,Cleveland,GA,"""30528"""
Truman State University,100 E Normal,Kirksville,MO,"""63501-4221"""
Trumbull Business College,3200 Ridge Road,Warren,OH,"""44484-3200"""
Tucson College,"5151 East Broadway Boulevard, Suite 155",Tucson,AZ,"""85711"""
Tufts University,"Ballou Hall, 2nd Floor",Medford,MA,"""02155-5555"""
Tulane University,6823 Saint Charles Ave,New Orleans,LA,"""70118-5698"""
Tulsa Community College,6111 E Skelly Dr,Tulsa,OK,"""74135"""
Tulsa Technology Center - Broken Arrow Campus,4600 South Olive,Broken Arrow,OK,"""74011-1706"""
Tulsa Technology Center - Lemley,PO Box 477200,Tulsa,OK,"""74145-7200"""
Tulsa Technology Center - Peoria,3850 N Peoria,Tulsa,OK,"""74106-1619"""
Tulsa Technology Center - Riverside Campus,801 East 91st,Tulsa,OK,"""74132-4008"""
Tulsa Welding School,2545 E. 11th Street,Tulsa,OK,"""74104-3909"""
Tulsa Welding School-Jacksonville Campus,3500 Southside Blvd,Jacksonville,FL,"""32216"""
Tunxis Community College,Rts 6 and 177,Farmington,CT,"""06032-3187"""
Turner Job Corps Center - Albany,2000 Schilling Ave.,Albany,GA,"""31705-1524"""
Turtle Mountain Community College,P.O. Box 340,Belcourt,ND,"""58316"""
Tusculum College,60 Shiloh Road,Greeneville,TN,"""37743"""
Tuskegee University,"Kresge Center, 3rd Floor",Tuskegee,AL,"""36088-1920"""
Tyler Junior College,1400 East Fifth Street,Tyler,TX,"""75789-0001"""
U. S. Army Management Staff College,"5500 21st Street, Ste. 1206",Ft. Belvoir,VA,"""22060"""
U. S. Army Medical Department Center and School,"2250 Stanley Road, Suite 245",San Antonio,TX,"""78234"""
U.S. Army Command and General Staff College,"c/o Dr. Robert F. Baumann 100 Stimson Ave., Room 3517",Fort Leavenworth,KS,"""66027-0000"""
"U.S. Army Defense Ammunition Center, Training Directorate",1 C Tree Road,McAlester,OK,"""74501"""
U.S. Army Logistics University,2401 Quarters Road,Fort Lee,VA,"""23801-1705"""
U.S. Army Ordnance Center and School,"Building 18018, Brigade Loop",Ft. Lee,VA,"""23801"""
U.S. Army Ordnance Mechanical Maintenance School,"3071 Aberdeen Blvd., Bldg. 3071, Room 115",Aberdeen Proving Ground,MD,"""21005-5201"""
U.S. Army Ordnance Munitions and Electronics Maintence School,"3300 Patton Road, Building 3301 ATSK-TT",Redstone Arsenal,AL,"""35897-6000"""
U.S. Army Transportation School,"711 B Avenue, Bldg.2300",Fort Lee,VA,"""23801"""
U.S. Army War College,122 Forbes Avenue,Carlisle,PA,"""17013"""
U.S. Career Institute,2001 Lowe Street,Fort Collins,CO,"""80525"""
U.S. Ling Institute,4516 S. 700 East,Murray,UT,"""84107"""
"U.S. Naval War College, The",Newport Naval Station,Newport,RI,"""02841"""
UEI College - Cerritos,17522 Studebacker Road,Cerritos,CA,"""90703"""
UEI College - Fresno,2002 N Gateway Blvd,Fresno,CA,"""93727"""
UEI College - Gardena,"661 Redondo Beach Blvd.,",Gardena,CA,"""90247"""
Uintah Basin Applied Technology College,1100 E Lagoon St    124-5,Roosevelt,UT,"""84066"""
Ukiah Adult School,1056 N. Bush Street,Ukiah,CA,"""95482"""
Ulster BOCES,"319 Broadway, Route 9w, PO Box 01",Port Ewen,NY,"""12466"""
Ulster County Community College,Cottekill Road,Stone Ridge,NY,"""12484"""
Ultimate Medical Academy - Clearwater,1255 Cleveland Street,Clearwater,FL,"""33756"""
"Ultrasound Medical Institute, Inc.",503 Royal Palm Beach Boulevard,Royal Palm Beach,FL,"""33411"""
Umpqua Community College,1140 College Rd.,Roseburg,OR,"""97470-0226"""
Unification Theological Seminary,30 Seminary Drive,Barrytown,NY,"""12507"""
Uniformed Services University of the Health Sciences,4301 Jones Bridge Rd,Bethesda,MD,"""20814-4799"""
Unilatina International College,3130 Commerce Parkway,Miramar,FL,"""33025"""
Union College,310 College St,Barbourville,KY,"""40906-1499"""
Union County College,1033 Springfield Ave,Cranford,NJ,"""07016-1599"""
Union County Vocational Technical School,1776 Raritan Rd,Scotch Plains,NJ,"""07076"""
Union Graduate College,80 Nott Terrace,Schenectady,NY,"""12308"""
Union Institute & University,440 E McMillan St,Cincinnati,OH,"""45206-1925"""
Union Presbyterian Seminary,3401 Brook Rd,Richmond,VA,"""23227"""
Union Theological Seminary,3041 Broadway,New York,NY,"""10027-5792"""
Union University,1050 Union University Dr,Jackson,TN,"""38305-3697"""
Unitech Training Academy - Lafayette,3605 Ambassador Caffery Parkway,Lafayette,LA,"""70503"""
United Education Institute - Huntington Park Campus,6055 Pacific Blvd.,Huntington Park,CA,"""90255"""
United Medical and Business Institute,"1514 East Cleveland Avenue, Suite 113S",East Point,GA,"""30344"""
United States Air Force Academy,"2304 Cadet Drive, Suite 3300",USAF Academy,CO,"""80840"""
"United States Army Infantry School, Fort Benning","Bldg. #228, 7370 Kilgore Street",Ft. Benning,GA,"""31905"""
United States Coast Guard Academy,15 Mohegan Avenue,New London,CT,"""06320-4195"""
United States Merchant Marine Academy,Steamboat Rd,Kings Point,NY,"""11024-1699"""
United States Military Academy,Institutional Research/Analysis Branch,West  Point,NY,"""10996-2101"""
United States Naval Academy,121 Blake Road,Annapolis,MD,"""21402-5000"""
United States Sports Academy,One Academy Dr,Daphne,AL,"""36526-7055"""
United States University,830 Bay Boulevard,Chula Vista,CA,"""91911"""
United Talmudical Seminary,191 Rodney Street,Brooklyn,NY,"""11211"""
United Theological Seminary,4501 Denlinger Rd.,Dayton,OH,"""45426"""
United Theological Seminary of the Twin Cities,3000 Fifth St NW,New Brighton,MN,"""55112-2598"""
United Tribes Technical College,3315 University Dr,Bismarck,ND,"""58504"""
United Truck & Car Driving School,2425 Camino Del Rio South,San Diego,CA,"""92108"""
Unitek College - Fremont,4670 Auto Mall Parkway,Fremont,CA,"""94538"""
Unitek College - Sacramento,"1111 Howe Avenue, Suite 201",Sacramento,CA,"""95825"""
Unity College,90 Quaker Hill Road,Unity,ME,"""04988"""
Universal Career School,10720 West Flagler Street,Sweetwater,FL,"""33174"""
Universal College of Healing Arts - Omaha,8702 N. 30th Street,Omaha,NE,"""68112"""
University of Advancing Technology,2625 W Baseline Rd,Tempe,AZ,"""85283"""
University of Akron,302 Buchtel Common,Akron,OH,"""44325-4702"""
University of Akron - Wayne College,1901 Smucker Rd,Orrville,OH,"""44667"""
University of Alabama at Birmingham,1530 3rd Avenue South,Birmingham,AL,"""35294-0110"""
University of Alabama in Huntsville,301 Sparkman Dr,Huntsville,AL,"""35899"""
University of Alaska Anchorage,3211 Providence Drive,Anchorage,AK,"""99508-8046"""
University of Alaska Fairbanks,Signers' Hall,Fairbanks,AK,"""99775-7480"""
University of Alaska Southeast,11120 Glacier Highway,Juneau,AK,"""99801-8697"""
University of Antelope Valley,44055 North Sierra Highway,Lancaster,CA,"""93534"""
University of Arizona,1401 E University,Tucson,AZ,"""85721-0066"""
University of Arkansas at Little Rock,2801 S University Ave,Little Rock,AR,"""72204"""
University of Arkansas at Monticello,Highway 425 South,Monticello,AR,"""71656"""
University of Arkansas at Pine Bluff,1200 N University Mail Slot 4789,Pine Bluff,AR,"""71601"""
University of Arkansas Community College-Batesville,2005 White Drive,Batesville,AR,"""72503-3350"""
University of Arkansas Community College-Hope,2500 S Main,Hope,AR,"""71802-0140"""
University of Arkansas Community College-Morrilton,1537 University Blvd.,Morrilton,AR,"""72110"""
University of Arkansas for Medical Sciences,4301 W Markham,Little Rock,AR,"""72205"""
University of Arkansas-Fort Smith,5210 Grand Ave P.O. Box 3649,Fort Smith,AR,"""72913-3649"""
"University of Arkansas, Fayetteville",Administration Bldg. 425,Fayetteville,AR,"""72701"""
University of Baltimore,1420 N. Charles Street,Baltimore,MD,"""21201"""
University of Bridgeport,126 Park Avenue,Bridgeport,CT,"""06604-5620"""
University of California - Berkeley,200 California Hall,Berkeley,CA,"""94720"""
University of California - Davis,One Shields Avenue,Davis,CA,"""95616-8678"""
University of California - Irvine,510 Aldrich Hall,Irvine,CA,"""92697"""
University of California - Los Angeles,405 Hilgard Ave,Los Angeles,CA,"""90095"""
University of California - Merced,5200 North Lake Road,Merced,CA,"""95343"""
University of California - Riverside,900 University Ave,Riverside,CA,"""92521"""
University of California - San Diego,9500 Gilman Dr,La Jolla,CA,"""92093"""
University of California - San Francisco,500 Parnassus Ave,San Francisco,CA,"""94143"""
University of California - Santa Barbara,UC Santa Barbara,Santa Barbara,CA,"""93106"""
University of California - Santa Cruz,1156 High St,Santa Cruz,CA,"""95064"""
University of California Hastings College of Law,200 McAllister St,San Francisco,CA,"""94102-4978"""
University of Central Arkansas,201 Donaghey Ave,Conway,AR,"""72035-0001"""
University of Central Florida,4000 Central Florida Blvd,Orlando,FL,"""32816"""
University of Central Missouri,116 W. South Street,Warrensburg,MO,"""64093-5011"""
University of Central Oklahoma,100 N. University Dr.,Edmond,OK,"""73034"""
University of Charleston,"2300 MacCorkle Avenue,  SE",Charleston,WV,"""25304"""
University of Chicago,5801 S Ellis Ave,Chicago,IL,"""60637"""
University of Cincinnati - Clermont College,4200 Clermont College Dr,Batavia,OH,"""45103"""
University of Cincinnati - Main Campus,P.O. Box 210063,Cincinnati,OH,"""45221-0063"""
University of Cincinnati Blue Ash College,9555 Plainfield Rd,Blue Ash,OH,"""45236-1096"""
University of Colorado at Boulder,17 UCB,Boulder,CO,"""80309-0017"""
University of Colorado at Colorado Springs,1420 Austin Bluffs Parkway,Colorado Springs,CO,"""80933-7150"""
University of Colorado Denver,,Denver,CO,"""80217-3364"""
University of Connecticut,352 Mansfield Rd.,Storrs,CT,"""06269"""
University of Dallas,1845 E Northgate,Irving,TX,"""75062-4736"""
University of Dayton,300 College Pk,Dayton,OH,"""45469"""
University of Delaware,104 Hullihen Hall,Newark,DE,"""19716"""
University of Denver,2199 S. University Blvd,Denver,CO,"""80208"""
University of Detroit Mercy,4001 W McNichols Rd,Detroit,MI,"""48221-3038"""
University of Dubuque,2000 University Ave,Dubuque,IA,"""52001"""
University of East West Medicine,595 Lawrence Expressway,Sunnyvale,CA,"""94087"""
University of Evansville,1800 Lincoln Avenue,Evansville,IN,"""47722"""
University of Fairfax,"1980 Gallows Road, Suite 220",Vienna,VA,"""22182"""
University of Florida,355 Tigert Hall,Gainesville,FL,"""32611"""
University of Fort Lauderdale,4093 N.W. 16th Street,Lauderhill,FL,"""33313"""
University of Georgia,456 East Broad Street,Athens,GA,"""30602"""
University of Great Falls,1301 Twentieth St S,Great Falls,MT,"""59405-4996"""
University of Hartford,200 Bloomfield Ave,West Hartford,CT,"""06117-1599"""
University of Hawaii - West Oahu,96-129 Ala Ike,Pearl City,HI,"""96782-3699"""
University of Hawaii at Hilo,200 W Kawili St,Hilo,HI,"""96720-4091"""
University of Hawaii at Manoa,"2500 Campus Road, Hawaii Hall",Honolulu,HI,"""96822-2301"""
University of Hawaii Maui College,310 Kaahumanu Ave,Kahului,HI,"""96732-1644"""
University of Houston,4800 Calhoun Rd.,Houston,TX,"""77204-2018"""
University of Houston-Clear Lake,2700 Bay Area Blvd,Houston,TX,"""77058-1098"""
University of Houston-Downtown,1 Main St,Houston,TX,"""77002-1014"""
University of Houston-Victoria,3007 N. Ben Wilson,Victoria,TX,"""77901"""
University of Idaho,875 Perimeter Drive,Moscow,ID,"""83844-2282"""
University of Illinois at Chicago,601 S. Morgan St. ; M/C 102,Chicago,IL,"""60607-7128"""
University of Illinois at Springfield,One University Plaza,Springfield,IL,"""62703-5407"""
University of Illinois at Urbana-Champaign,601 E John Street,Champaign,IL,"""61820-5711"""
University of Indianapolis,1400 E Hanna Ave,Indianapolis,IN,"""46227-3697"""
University of Iowa,101 Jessup Hall,Iowa City,IA,"""52242-1316"""
University of Jamestown,6000 College Lane,Jamestown,ND,"""58405"""
University of Kansas,230 Strong Hall 1450 Jayhawk Blvd.,Lawrence,KS,"""66045-7535"""
University of Kentucky,101 Main Building,Lexington,KY,"""40506-0032"""
University of La Verne,1950 Third St,La Verne,CA,"""91750-4401"""
University of Louisiana at Lafayette,104 University Cir,Lafayette,LA,"""70503"""
