Smith College|MA
Smokey Mountain Trucking Institute|TN
Snead State Community College|AL
Snow College|UT
Sojourner-Douglass College|MD
Soka University of America|CA
Sol Schools Miami Beach|FL
Solano Community College|CA
Solex College|IL
Solex Medical Academy|IL
Somerset Community College|KY
Somerset County Technology Center|PA
Somerset County Technology Institute|NJ
Sonoma State University|CA
Sonoran Desert Institute|AZ
Sotheby's Institute of Art|NY
South Arkansas Community College|AR
South Baylo University|CA
South Carolina School of Healing Arts|SC
South Carolina State University|SC
South Central College|MN
South Coast College|CA
South College|TN
South College - Asheville|NC
South Dade Adult Education Center|FL
South Dakota School of Mines and Technology|SD
South Dakota State University|SD
South Florida Bible College|FL
South Florida Institute of Technology|FL
South Florida Montessori Education Center|FL
South Florida State College|FL
South Georgia College|GA
South Georgia Technical College|GA
South Hills School of Business and Technology - State College|PA
South Louisiana Community College|LA
South Mountain Montessori Teacher Education Program|AZ
South Piedmont Community College|NC
South Plains College|TX
South Puget Sound Community College|WA
South Seattle Community College|WA
South Suburban College of Cook County|IL
South Texas College|TX
South Texas College of Law|TX
South Texas Training Center|TX
South Texas Vocational Technical Institute - McAllen|TX
South Texas Vo-Tech Institute|TX
South University - Cleveland|OH
South University - Columbia|SC
South University-Savannah|GA
Southcentral Kentucky Community and Technical College|KY
Southeast Applied Technology|UT
Southeast Arkansas College|AR
Southeast Community College Area|NE
Southeast Florida Institute Dale Carnegie Training|FL
Southeast Florida Institute, Inc. Dale Carnegie Training|FL
Southeast Kentucky Community and Technical College|KY
Southeast Missouri Hospital College of Nursing|MO
Southeast Missouri State University|MO
Southeast Technical Institute|SD
Southeast Texas Career Institute|TX
Southeastern Baptist College|MS
Southeastern Baptist Theological Seminary|NC
Southeastern Bible College|AL
Southeastern Community College|IA
Southeastern Community College|NC
Southeastern Illinois College|IL
Southeastern Institute|TN
Southeastern Institute - Charlotte|NC
Southeastern Institute - Columbia|SC
Southeastern Institute - North Charleston|SC
Southeastern Louisiana University|LA
Southeastern Oklahoma State University|OK
Southeastern Technical College|GA
Southeastern Technical Institute|MA
Southeastern University|FL
Southern Adventist University|TN
Southern Arkansas University Main Campus|AR
Southern Arkansas University Tech|AR
Southern California College of Optometry|CA
Southern California Health Institute|CA
Southern California Institute of Architecture|CA
Southern California Institute of Technology|CA
Southern California Seminary|CA
Southern California University of Health Sciences|CA
Southern California University SOMA|CA
Southern Careers Institute Inc|TX
Southern College of Optometry|TN
Southern Connecticut State University|CT
Southern Evangelical Seminary|NC
Southern Illinois University Carbondale|IL
Southern Illinois University Edwardsville|IL
Southern Maine Community College|ME
Southern Methodist College|SC
Southern Methodist University|TX
Southern Nazarene University|OK
Southern New Hampshire University|NH
Southern Oklahoma Technology Center|OK
Southern Oregon University|OR
Southern Polytechnic State University|GA
Southern Southeast Alaska Technical Education Center|AR
Southern State Community College|OH
Southern States University - Newport Beach|CA
Southern States University - San Diego|CA
Southern Technical College|FL
Southern Union State Community College|AL
Southern University and A & M College|LA
Southern University at New Orleans|LA
Southern University at Shreveport|LA
Southern Utah University|UT
Southern Vermont College|VT
Southern Virginia University|VA
Southern Wesleyan University|SC
Southern West Virginia Community and Technical College|WV
Southern Westchester BOCES|NY
Southern Worcester Regional Vocational School District|MA
Southside Regional Medical Center|VA
Southside Virginia Community College|VA
Southwest Acupuncture College - Albuquerque|NM
Southwest Acupuncture College - Boulder|CO
Southwest Acupuncture College - Santa Fe|NM
Southwest Applied Technology|UT
Southwest Baptist University|MO
Southwest College of Naturopathic Medicine & Health Sciences|AZ
Southwest Florida College - Fort Myers|FL
Southwest Georgia Technical College|GA
Southwest Health Career Institute Inc|NM
Southwest Institute of Healing Arts|AZ
Southwest Institute of Technology|TX
Southwest Minnesota State University|MN
Southwest Mississippi Community College|MS
Southwest School of Business and Technical Careers|TX
Southwest Technology Center|OK
Southwest Tennessee Community College|TN
Southwest Texas Junior College|TX
Southwest University|LA
Southwest University at El Paso|TX
Southwest University of Visual Arts|AZ
Southwest Virginia Community College|VA
Southwest Wisconsin Technical College|WI
Southwestern Adventist University|TX
Southwestern Assemblies of God University|TX
Southwestern Baptist Theological Seminary|TX
Southwestern Christian College|TX
Southwestern Christian University|OK
Southwestern College|CA
Southwestern College|KS
Southwestern College|NM
Southwestern Community College|IA
Southwestern Community College|NC
Southwestern Illinois College|IL
Southwestern Indian Polytechnic Institute|NM
Southwestern Law School|CA
Southwestern Michigan College|MI
Southwestern Montessori Training Center (IND)|TX
Southwestern Oklahoma State University|OK
Southwestern Oregon Community College|OR
Southwestern Professional Institute|TX
Southwestern University|TX
Sowela Technical Community College|LA
Special School District St. Louis County|MO
Specs Howard School of Media Arts|MI
Spelman College|GA
Spencerian College - Louisville|KY
Spertus Institute for Jewish Learning and Leadership|IL
Spokane College of English Language|WA
Spokane Community College|WA
Spokane Falls Community College|WA
Spoon River College|IL
Spring Arbor University|MI
Spring Hill College|AL
Spring Institute for Intercultural Learning|CO
Spring International Language Center|CO
Spring Valley Montessori Teacher Education Program|WA
Springfield College|MA
Springfield College in Illinois|IL
Springfield Technical Community College|MA
Springhouse Education and Consulting Services - Exton|PA
St Charles Community College|MO
St Clair County Community College|MI
St Francis Medical Center-School of Radiologic Technology|NJ
St Johns College|IL
St John's Regional Health Center|MO
St Joseph's Medical Center School of Radiography|NY
St Louis College of Pharmacy|MO
St Petersburg Theological Seminary|FL
St Tikhon's Orthodox Theological Seminary|PA
St Vincent's College|CT
St. Andrews Presbyterian College|NC
St. Bernard's School of Theology and Ministry|NY
St. Bonaventure University|NY
St. Catherine University|MN
St. Croix Career and Technical Center|VI
St. Edward's University|TX
St. Elizabeth College of Nursing|NY
St. Elizabeth Medical Center|NY
St. Francis Career College - San Jose|CA
St. Francis College|NY
St. James Mercy Hospital|NY
St. John Vianney Theological Seminary|CO
St. John's College|IL
St. John's College|MD
St. John's College|NM
St. Johns River State College|FL
St. John's University - New York|NY
St. Joseph's College of Nursing|NY
St. Lawrence University|NY
St. Louis College of Health Careers - Metro|MO
St. Luke's College|IA
St. Mary's College of Maryland|MD
St. Mary's Seminary & University|MD
St. Mary's University|TX
St. Olaf College|MN
St. Paul's School of Nursing - Flushing|NY
St. Paul's School of Nursing - Staten Island|NY
St. Petersburg College|FL
St. Philip's College|TX
St. Thomas Aquinas College|NY
Stanbridge College|CA
Standard Healthcare Services College of Nursing|VA
Stanford University|CA
Stanly Community College|NC
Star Career Academy - Brick|NJ
Star Career Academy - Egg Harbor|NJ
Star Career Academy - New York|NY
Star Career Academy - Newark|NJ
Star Career Academy - Philadelphia|PA
Star Technical Institute|PA
Stark State College|OH
Starr King School for Ministry|CA
Starting Points for Children - Institute for Early Childhood Educators|NJ
State Career College|IL
State College of Florida, Manatee-Sarasota|FL
State Fair Community College|MO
Stautzenberger College|OH
Stella Adler Studio of Acting|NY
StenoTech Career Institute - Piscataway|NJ
Stenotype Institute of Jacksonville Inc|FL
Stephen F Austin State University|TX
Stephens College|MO
Sterling College|KS
Sterling College|VT
Stetson University|FL
Stevens - Henager College|ID
Stevens Institute of Business & Arts|MO
Stevens Institute of Technology|NJ
Stevens-Henager College-Ogden|UT
Stevenson University|MD
Stewart School|SD
Stillman College|AL
Stone Academy - Hamden|CT
Stone Child College|MT
Stonehill College|MA
Stratford University|VA
Strayer University|DC
Studio Incamminati|PA
Studio Jewelers|NY
Submarine Learning Center|CT
Suburban Technical School|NY
Success Schools - Merrillville|IN
Suffolk County Community College|NY
Suffolk University|MA
Sul Ross State University|TX
Sullivan and Cogliano Training Centers|FL
Sullivan College of Technology and Design|KY
Sullivan County Community College|NY
Sullivan University|KY
SUM Bible College & Theological Seminary - Main Campus|CA
Summit Academy Opportunities Industrialization Center|MN
Summit Christian College|NE
Summit College|CA
Summit Montessori Teacher Training Institute|FL
Sumner College|OR
SUN Area Career and Technology Center|PA
Sunstate Academy|FL
SUNY - Potsdam|NY
SUNY  Upstate Medical University|NY
SUNY at Albany|NY
SUNY at Binghamton|NY
SUNY at Buffalo|NY
SUNY at Farmingdale|NY
SUNY at Fredonia|NY
SUNY at Stony Brook|NY
SUNY Broome Community College|NY
SUNY College at Brockport|NY
SUNY College at Buffalo|NY
SUNY College at Cortland|NY
SUNY College at Geneseo|NY
SUNY College at New Paltz|NY
SUNY College at Old Westbury|NY
SUNY College at Oneonta|NY
SUNY College at Oswego|NY
SUNY College at Plattsburgh|NY
SUNY College at Purchase|NY
SUNY College of Agriculture & Technology at Morrisville|NY
SUNY College of Agriculture and Technology at Cobleskill|NY
SUNY College of Environmental Science and Forestry|NY
SUNY College of Optometry|NY
SUNY College of Technology at Alfred|NY
SUNY College of Technology at Canton|NY
SUNY College of Technology at Delhi|NY
SUNY Downstate Medical Center|NY
SUNY Empire State College|NY
SUNY Institute of Technology at Utica - Rome|NY
SUNY Maritime College|NY
SUNY Westchester Community College|NY
Surry Community College|NC
Susquehanna County Career and Technology|PA
Susquehanna University|PA
Sussex County Community College|NJ
Suwannee-Hamilton Technical Center|FL
SW School of Business and Technical Careers|TX
Swainsboro Technical College|GA
Swarthmore College|PA
Swedish Institute|NY
Sweet Briar College|VA
Symbol Job Training, Inc.|IL
Syracuse University|NY
T.A. Lawson State Community College|AL
Tabor College|KS
Tacoma Bible College|WA
Tacoma Community College|WA
Taft College|CA
Taft Law School|CA
TALK International|FL
Talladega College|AL
Tallahassee Community College|FL
Talmudic College of Florida|FL
Talmudical Academy - New Jersey|NJ
Talmudical Institute of Upstate New York|NY
Talmudical Seminary of Bobov|NY
Talmudical Seminary Oholei Torah|NY
Talmudical Yeshiva of Philadelphia|PA
Tap This Valley Works CET|VA
Tarleton State University|TX
Tarrant County College District|TX
Taylor Andrews Academy|UT
Taylor Andrews Academy - St. George|UT
Taylor Business Institute|IL
Taylor College|FL
Taylor Technical Institute|FL
Taylor University|IN
TCM International Institute|IN
TDDS Technical Institute|OH
Teachers College at Columbia University|NY
Teachers College of San Joaquin|CA
Technical Career Institute|FL
Technical Career Institutes|NY
Technical College of the Lowcountry|SC
Technical Education Center-Osceola|FL
Technical Institute of America|NY
Technical Learning Centers|DC
Technology Center|GA
TechSkills - Brookfield|WI
TechSkills - Charlotte|NC
TechSkills - Cincinnati|OH
TechSkills - Greensboro|NC
TechSkills - Independence|OH
TechSkills - Las Vegas|NV
TechSkills - Lenexa|KS
TechSkills - Madison|WI
TechSkills - Memphis|TN
TechSkills - Nashville|TN
TechSkills - Raleigh|NC
TechSkills - Sacramento|CA
Telshe Yeshiva - Chicago|IL
Temple Baptist College|OH
Temple Baptist Seminary|TN
Temple College|TX
Temple University|PA
Tennessee Career Institute|TN
Tennessee College of Applied Technology Athens|TN
Tennessee College of Applied Technology Covington|TN
Tennessee College of Applied Technology Crossville|TN
Tennessee College of Applied Technology Crump|TN
Tennessee College of Applied Technology Dickson|TN
Tennessee College of Applied Technology Elizabethton|TN
Tennessee College of Applied Technology Harriman|TN
Tennessee College of Applied Technology Hartsville|TN
Tennessee College of Applied Technology Hohenwald|TN
Tennessee College of Applied Technology Jacksboro|TN
Tennessee College of Applied Technology Jackson|TN
Tennessee College of Applied Technology Knoxville|TN
Tennessee College of Applied Technology Livingston|TN
Tennessee College of Applied Technology McKenzie|TN
Tennessee College of Applied Technology McMinnville|TN
Tennessee College of Applied Technology Memphis|TN
Tennessee College of Applied Technology Morristown|TN
Tennessee College of Applied Technology Murfreesboro|TN
Tennessee College of Applied Technology Nashville|TN
Tennessee College of Applied Technology Oneida-Huntsville|TN
Tennessee College of Applied Technology Paris|TN
Tennessee College of Applied Technology Pulaski|TN
Tennessee College of Applied Technology Ripley|TN
Tennessee College of Applied Technology Shelbyville|TN
Tennessee College of Applied Technology Whiteville|TN
Tennessee College of Applied TechnologyNewbern|TN
Tennessee State University|TN
Tennessee Technological University|TN
Tennessee Temple University|TN
Tennessee Truck Driving School|TN
Tennessee Wesleyan College|TN
Terra State Community College|OH
TESST College of Technology - Alexandria|VA
TESST College of Technology - Baltimore|MD
TESST College of Technology - Beltsville|MD
TESST College of Technology - Towson|MD
Teterboro School of Aeronautics|NJ
Texarkana College|TX
Texas A & M International University|TX
Texas A & M University|TX
Texas A & M University - Central Texas|TX
Texas A & M University - Commerce|TX
Texas A & M University - Corpus Christi|TX
Texas A & M University - Kingsville|TX
Texas A & M University - Texarkana|TX
Texas A & M University System Health Science Center|TX
Texas A&M University School of Law|TX
Texas Chiropractic College|TX
Texas Christian University|TX
Texas College|TX
Texas County Technical College|MO
Texas Covenant Education|TX
Texas Health and Science University|TX
Texas Health School|TX
Texas Lutheran University|TX
Texas School of Business Inc|TX
Texas Southern University|TX
Texas Southmost College|TX
Texas State Technical College - Harlingen|TX
Texas State Technical College - Waco|TX
Texas State Technical College - West Texas|TX
Texas State Technical College Marshall|TX
Texas State University|TX
Texas Tech University|TX
Texas Tech University Health Sciences Center|TX
Texas Vocational Schools|TX
Texas Wesleyan University|TX
Texas Woman's University|TX
Thaddeus Stevens College of Technology|PA
The Academy for Salon Professionals|CA
The Academy Waukesha|WI
The Aesthetic Science institute|NY
The Ailey School|NY
The American Academy of Personal Training|NY
The Apprentice School - Newport News Shipbuilding|VA
The Art Institute of Atlanta|GA
The Art Institute of Colorado|CO
The Art Institute of Dallas|TX
The Art Institute of Fort Lauderdale Inc|FL
The Art Institute of Houston|TX
The Art Institute of New York City|NY
The Art Institute of Philadelphia|PA
The Art Institute of Phoenix|AZ
The Art Institute of Pittsburgh|PA
The Art Institute of Portland|OR
The Art Institute of Seattle|WA
The Art Institute of York|PA
The Art Institutes International Minnesota|MN
The Aveda Institute of New Mexico|NM
The Baptist College of Florida|FL
The Boston Conservatory|MA
The Bryman School - Tempe|AZ
The Cactus Academy, Ltd.|NY
The Chicago School for Piano Technology|IL
The Chrysm Institute of Esthetics|VA
The Chubb Institute-Westbury|NY
The Citadel|SC
The Colburn School|CA
The Collective|NY
The College of Coiffure Art|MT
The College of Health Care Professions|TX
The College of New Jersey|NJ
The College of New Rochelle|NY
The College of Saint Mary Magdalen|NH
The College of Saint Rose|NY
The College of Saints John Fisher and Thomas More|TX
The College of Westchester|NY
The College of Wooster|OH
The Community College of Baltimore County|MD
The Creative Center|NE
The Creative Circus|GA
The Criswell College|TX
The EF Executive Language Institute A branch of EF International Language|MA
The Elaine Sterling Institute|GA
The English Center|CA
The English Center - Miami-Dade County Public Schools|FL
The Evergreen State College|WA
The Fab School|CA
The General Theological Seminary|NY
The Graduate School and University Center of the City University of New York|NY
The Illinois Institute of Art - Chicago|IL
The Illinois Institute of Art-Schaumburg|IL
The Institute for Health Education|NJ
The Institute for the Psychological Sciences|VA
The Institute of World Politics|DC
The International School of Hospitality|NV
The John Leland Center for Theological Studies|VA
The John Marshall Law School|IL
The Joseph Business School|IL
The Juilliard School|NY
The King's College|NY
The King's University|TX
The Lab Paul Mitchell Partner School|NJ
The Language Company|OK
The Language Institute|CA
The Master's College and Seminary|CA
The Nail Academy|NY
The National Hispanic University|CA
The New Community College at CUNY|NY
The New England Conservatory of Music|MA
The New England Institute of Art|MA
The New School|NY
The New School of Radio and Television|NY
The Ocean Corporation|TX
The Ohio Academy, A Paul Mitchell Partner School|OH
The Olin Center for International Study, Inc.|MA
The Players School of Music|FL
The Restaurant School at Walnut Hill College|PA
The Richard Stockton College of New Jersey|NJ
The Sage Colleges|NY
The Salon Academy|MI
The Salon Professional Academy|CA
The Salon Professional Academy|IL
The Salon Professional Academy|NJ
The Salon Professional Academy - Altoona|PA
The Salon Professional Academy - Anderson|IN
The Salon Professional Academy - Appleton|WI
The Salon Professional Academy - Branson|MO
The Salon Professional Academy - Colorado Springs|CO
The Salon Professional Academy - Eau Claire|WI
The Salon Professional Academy - Evansville|IN
The Salon Professional Academy - Gainesville|FL
The Salon Professional Academy - Grand Junction|CO
The Salon Professional Academy - Huntsville|AL
The Salon Professional Academy - Iowa City|IA
The Salon Professional Academy - Kokomo|IN
The Salon Professional Academy - Lewisville|TX
The Salon Professional Academy - Lexington|KY
The Salon Professional Academy - Melbourne|FL
The Salon Professional Academy - Nashville|TN
The Salon Professional Academy - North Fort Myers|FL
The Salon Professional Academy - North Little Rock|AR
The Salon Professional Academy - Onalaska|WI
The Salon Professional Academy - Perrysburg|OH
The Salon Professional Academy - St. Charles|MO
The Salon Professional Academy - Tacoma|WA
The Salon Professional Academy - Tampa|FL
The Salon Professional Academy - The Villages|FL
The Salon Professional Academy - Tonawanda|NY
The Salon Professional Academy - Williston|VT
The Salon Professionals Academy Fargo|ND
The SANS Technology Institute|MD
The Seattle School of Theology and Psychology|WA
The Southern Baptist Theological Seminary|KY
The Temple: A Paul Mitchell Partner School|MD
The Training Domain|FL
The University of Aesthetics|IL
The University of Alabama|AL
The University of Findlay|OH
The University of Montana|MT
The University of Montana - Western|MT
The University of Tampa|FL
The University of Tennessee - Chattanooga|TN
The University of Tennessee - Martin|TN
The University of Texas - Pan American|TX
The University of Texas at Arlington|TX
The University of Texas at Brownsville and Texas Southmost College|TX
The University of Texas at Dallas|TX
The University of Texas at El Paso|TX
The University of Texas at San Antonio|TX
The University of Texas at Tyler|TX
The University of Texas Health Science - San Antonio|TX
The University of Texas Health Science Center at Houston|TX
The University of Texas Medical Branch|TX
The University of Texas of the Permian Basin|TX
The University of Texas School of Health Professions|TX
The University of the Arts|PA
The University of the South|TN
The University of Virginia's College at Wise|VA
The University of West Florida|FL
The Valley School for Dental Assisting|CA
The Village School for Children  (AMS)|NJ
The Vocational Nursing Institute|TX
The Williamson Free School of Mechanical Trades|PA
The Wisconsin Academy|WI
The Wright Institute|CA
Theatre of Arts|CA
Theda Clark Medical Center|WI
Theological University of the Caribbean|PR
Thiel College|PA
Thomas Aquinas College|CA
Thomas College|ME
Thomas Edison State College|NJ
Thomas J. Kiblen & Associates Dale Carnegie Training|CA
Thomas Jefferson School of Law|CA
Thomas Jefferson University|PA
Thomas M. Cooley Law School|MI
Thomas More College|KY
Thomas More College of Liberal Arts|NH
Thomas Nelson Community College|VA
Thomas University|GA
Thompson Institute|PA
Three Rivers Community College|CT
Three Rivers Community College|MO
Thunderbird School of Global Management|AZ
Tidewater Community College|VA
Tidewater Tech-Trades|VA
Tiffin University|OH
Tillamook Bay Community College|OR
TLA - The Language Academy|FL
Toccoa Falls College|GA
Tohono O'Odham Community College|AZ
Toledo Public Schools Adult and Continuing Education|OH
Toledo Restaurant Training Center|OH
Tom Flickinger & Associates of Ohio Dale Carnegie Training of Central Ohio|OH
Tom P Haney Technical Center|FL
Tompkins-Cortland Community College|NY
Tool and Dye Maker School|PR
Torah Temimah Talmudical Seminary|NY
Total International Career Institute|FL
Tougaloo College|MS
Touro College|NY
Touro University|CA
Towson University|MD
Toyota Technological Institute at Chicago|IL
Training Centers of Texas|TX
Training Solutions Inc|NY
Transworld Schools|CA
Transylvania University|KY
Travel Institute of the Pacific|HI
Treasure Valley Community College|OR
Trend Setters Academy-Louisville|KY
Trevecca Nazarene University|TN
Tri County Technology Center|OK
Triangle Tech - Bethlehem|PA
Triangle Tech Inc - Sunbury|PA
Triangle Tech Inc-Dubois|PA
Triangle Tech Inc-Erie|PA
Triangle Tech Inc-Greensburg|PA
Triangle Tech Inc-Pittsburgh|PA
Tribeca Flashpoint Media Arts Academy|IL
Tri-County Allied Health School|CA
Tri-County Community College|NC
Tri-County Regional Vocational Technical School|MA
Tri-County Technical College|SC
Trident Technical College|SC
Trident University International|CA
Trine University|IN
Trinidad State Junior College|CO
Trinity Baptist College|FL
Trinity Bible College|ND
Trinity Christian College|IL
Trinity College|CA
Trinity College|CT
Trinity College of Florida|FL
Trinity College of Nursing and Health Sciences|IL
Trinity College of Puerto Rico|PR
Trinity Episcopal School for Ministry|PA
Trinity International University|IL
Trinity Lutheran College|WA
Trinity Lutheran Seminary|OH
Trinity University|TX
Trinity Valley Community College|TX
Trinity Vocational Center|CA
Trinity Washington University|DC
Tri-State Bible College|OH
Tri-State College of Acupuncture|NY
Tri-State College of Massotherapy|OH
Tri-State Semi Driver Training - Palmer|TX
Triton College|IL
Trocaire College|NY
Troy University|AL
Truckee Meadows Community College|NV
Truett-McConnell College|GA
Truman State University|MO
Trumbull Business College|OH
Tucson College|AZ
Tufts University|MA
Tulane University|LA
Tulsa Community College|OK
Tulsa Technology Center - Broken Arrow Campus|OK
Tulsa Technology Center - Lemley|OK
Tulsa Technology Center - Peoria|OK
Tulsa Technology Center - Riverside Campus|OK
Tulsa Welding School|OK
Tulsa Welding School-Jacksonville Campus|FL
Tunxis Community College|CT
Turner Job Corps Center - Albany|GA
Turtle Mountain Community College|ND
Tusculum College|TN
Tuskegee University|AL
Twin Rivers Adult School|CA
Tyler Junior College|TX
U. S. Army Management Staff College|VA
U. S. Army Medical Department Center and School|TX
U.S. Army Command and General Staff College|KS
U.S. Army Defense Ammunition Center, Training Directorate|OK
U.S. Army Logistics University|VA
U.S. Army Ordnance Center and School|VA
U.S. Army Ordnance Mechanical Maintenance School|MD
U.S. Army Ordnance Munitions and Electronics Maintence School|AL
U.S. Army Transportation School|VA
U.S. Army War College|PA
U.S. Career Institute|CO
U.S. Ling Institute|UT
U.S. Naval War College, The|RI
UDI Career Training Institute|NY
UEI College - Cerritos|CA
UEI College - Fresno|CA
UEI College - Gardena|CA
Uintah Basin Applied Technology College|UT
Ukiah Adult School|CA
Ulster BOCES|NY
Ulster County Community College|NY
Ultimate Medical Academy - Clearwater|FL
Ultrasound Medical Institute, Inc.|FL
Umpqua Community College|OR
Unification Theological Seminary|NY
Uniformed Services University of the Health Sciences|MD
Unilatina International College|FL
Union College|KY
Union College|NE
Union College|NY
Union County College|NJ
Union County Vocational Technical School|NJ
Union Graduate College|NY
Union Institute & University|OH
Union Presbyterian Seminary|VA
Union Theological Seminary|NY
Union University|TN
Unitech Training Academy - Lafayette|LA
United Education Institute - Huntington Park Campus|CA
United Medical and Business Institute|GA
United States Air Force Academy|CO
United States Army Infantry School, Fort Benning|GA
United States Coast Guard Academy|CT
United States Merchant Marine Academy|NY
United States Military Academy|NY
United States Naval Academy|MD
United States Sports Academy|AL
United States University|CA
United Talmudical Seminary|NY
United Technical Center|WV
United Theological Seminary|OH
United Theological Seminary of the Twin Cities|MN
United Tribes Technical College|ND
United Truck & Car Driving School|CA
Unitek College - Fremont|CA
Unitek College - Sacramento|CA
Unity College|ME
Universal Career School|FL
Universal College of Healing Arts - Omaha|NE
Universidad Adventista de las Antillas|PR
Universidad Central Del Caribe|PR
Universidad Pentecostal Mizpa|PR
Universidad Politecnica de Puerto Rico|PR
University of Advancing Technology|AZ
University of Akron|OH
University of Akron - Wayne College|OH
University of Alabama at Birmingham|AL
University of Alabama in Huntsville|AL
University of Alaska Anchorage|AK
University of Alaska Fairbanks|AK
University of Alaska Southeast|AK
University of Antelope Valley|CA
University of Arizona|AZ
University of Arkansas at Little Rock|AR
University of Arkansas at Monticello|AR
University of Arkansas at Pine Bluff|AR
University of Arkansas Community College-Batesville|AR
University of Arkansas Community College-Hope|AR
University of Arkansas Community College-Morrilton|AR
University of Arkansas for Medical Sciences|AR
University of Arkansas, Fayetteville|AR
University of Arkansas-Fort Smith|AR
University of Baltimore|MD
University of Bridgeport|CT
University of California - Berkeley|CA
University of California - Davis|CA
University of California - Irvine|CA
University of California - Los Angeles|CA
University of California - Merced|CA
University of California - Riverside|CA
University of California - San Diego|CA
University of California - San Francisco|CA
University of California - Santa Barbara|CA
University of California - Santa Cruz|CA
University of California Hastings College of Law|CA
University of Central Arkansas|AR
University of Central Florida|FL
University of Central Missouri|MO
University of Central Oklahoma|OK
University of Charleston|WV
University of Chicago|IL
University of Cincinnati - Clermont College|OH
University of Cincinnati - Main Campus|OH
University of Cincinnati Blue Ash College|OH
University of Colorado at Boulder|CO
University of Colorado at Colorado Springs|CO
University of Colorado Denver|CO
University of Connecticut|CT
University of Dallas|TX
University of Dayton|OH
University of Delaware|DE
University of Denver|CO
University of Detroit Mercy|MI
University of Dubuque|IA
University of East West Medicine|CA
University of Evansville|IN
University of Fairfax|VA
University of Florida|FL
University of Fort Lauderdale|FL
University of Georgia|GA
University of Great Falls|MT
University of Guam|GU
University of Hartford|CT
University of Hawaii - West Oahu|HI
University of Hawaii at Hilo|HI
University of Hawaii at Manoa|HI
University of Hawaii Maui College|HI
University of Houston|TX
University of Houston-Clear Lake|TX
University of Houston-Downtown|TX
University of Houston-Victoria|TX
University of Idaho|ID
University of Illinois at Chicago|IL
University of Illinois at Springfield|IL
University of Illinois at Urbana-Champaign|IL
University of Indianapolis|IN
University of Iowa|IA
University of Jamestown|ND
University of Kansas|KS
University of Kentucky|KY
University of La Verne|CA
University of Louisiana at Lafayette|LA
University of Louisiana at Monroe|LA
University of Louisville|KY
University of Maine|ME
University of Maine at Augusta|ME
University of Maine at Farmington|ME
University of Maine at Fort Kent|ME
University of Maine at Machias|ME
University of Maine at Presque Isle|ME
University of Management and Technology|VA
University of Mary|ND
University of Mary Hardin-Baylor|TX
University of Mary Washington|VA
University of Maryland - Baltimore|MD
University of Maryland - Baltimore County|MD
University of Maryland - College Park|MD
University of Maryland - Eastern Shore|MD
University of Maryland - University College|MD
University of Maryland Center for Environmental Sciences|MD
University of Massachusetts - Boston|MA
University of Massachusetts - Dartmouth|MA
University of Massachusetts - Lowell|MA
University of Massachusetts - Worcester|MA
University of Massachusetts Amherst|MA
University of Medicine and Dentistry of New Jersey|NJ
University of Memphis|TN
University of Miami|FL
University of Michigan - Ann Arbor|MI
University of Michigan - Dearborn|MI
University of Michigan - Flint|MI
University of Minnesota - Crookston|MN
University of Minnesota - Duluth|MN
University of Minnesota - Morris|MN
University of Minnesota - Twin Cities|MN
University of Mississippi Main Campus|MS
University of Mississippi Medical Center|MS
University of Missouri - Columbia|MO
University of Missouri - Kansas City|MO
University of Missouri - St Louis|MO
University of Mobile|AL
University of Montana - Helena College of Technology|MT
University of Montevallo|AL
University of Mount Olive|NC
University of Mount Union|OH
University of Nebraska - Lincoln|NE
University of Nebraska - Nebraska College of Technical Agriculture|NE
University of Nebraska at Kearney|NE
University of Nebraska at Omaha|NE
University of Nebraska Medical Center|NE
University of Nevada - Las Vegas|NV
University of Nevada - Reno|NV
University of New England|ME
University of New Hampshire|NH
University of New Haven|CT
University of New Mexico-Main Campus|NM
University of New Orleans|LA
University of North Alabama|AL
University of North Carolina - Wilmington|NC
University of North Carolina at Asheville|NC
University of North Carolina at Chapel Hill|NC
University of North Carolina at Charlotte|NC
University of North Carolina at Greensboro|NC
University of North Carolina at Pembroke|NC
University of North Dakota|ND
University of North Florida|FL
University of North Georgia|GA
University of North Texas|TX
University of North Texas at Dallas|TX
University of North Texas Health Science Center at Fort Worth|TX
University of Northern Colorado|CO
University of Northern Iowa|IA
University of Northwestern - St. Paul|MN
University of Northwestern Ohio|OH
University of Notre Dame|IN
University of Oklahoma|OK
University of Oregon|OR
University of Pennsylvania|PA
University of Philosophical Research|CA
University of Phoenix|AZ
University of Pikeville|KY
University of Pittsburgh - Bradford|PA
University of Pittsburgh - Johnstown|PA
University of Pittsburgh - Main Campus|PA
University of Pittsburgh - Titusville|PA
University of Pittsburgh Medical Center - Health System|PA
University of Pittsburgh Medical Center - Shadyside School of Nursing|PA
University of Portland|OR
University of Puerto Rico - Aguadilla|PR
University of Puerto Rico - Arecibo|PR
University of Puerto Rico - Bayamon|PR
University of Puerto Rico - Carolina|PR
University of Puerto Rico - Cayey|PR
University of Puerto Rico - Humacao|PR
University of Puerto Rico - Mayaguez|PR
University of Puerto Rico - Medical Sciences Campus|PR
University of Puerto Rico - Rio Piedras Campus|PR
University of Puerto Rico - Utuado|PR
University of Puget Sound|WA
University of Redlands|CA
University of Rhode Island|RI
University of Richmond|VA
University of Rio Grande|OH
University of Rochester|NY
University of Saint Francis - Fort Wayne|IN
University of Saint Joseph|CT
